NCT Number,Conditions,Conditions_mapped_concept,Conditions_mapped_concept_id,Conditions_mapped_official_concept
NCT07305636,mafld,MAFD,C2985222,Multi-Analyte Fluorescent Detection
NCT06962423,biomedical research,Biomedical Research,C0005540,Biomedical Research
NCT07117266,x-ray,X-ray,C0034571,roentgenographic
NCT06809634,healthy,Healthy,C3898900,Healthy
NCT07237919,primary care,Primary Care,C0033137,Primary Health Care
NCT07037563,hyperglycaemia,HYPERGLYCAEMIA,C0020456,Hyperglycemia
NCT06603909,"cancer, carcinoma",Carcinoma (disorder),C0007097,Carcinoma
NCT06543862,colonic polyp,COLONIC POLYP,C0009376,Colonic Polyps
NCT07087171,infertility (ivf patients),Infertility,C0021359,Infertility
NCT07087288,nursing students,Nursing students,C0038496,"Students, Nursing"
NCT07087418,digestive diseases,Digestive Diseases,C0012242,Digestive System Disorders
NCT06934239,breast cancer screening,Breast cancer screening,C0281182,Screening for malignant neoplasm of breast
NCT06792890,physician workflow,Workflows,C1710679,Workflow
NCT05963802,educational activities,Educational Activities,C0013652,Educational Activities
NCT06624605,communication,Communication,C0009452,Communication
NCT06931782,respiratory diseases,Respiratory diseases,C0035204,Respiration Disorders
NCT04682821,gastroscopy,Gastroscopy,C0017195,Endoscopy of stomach
NCT07132151,painless abortion,Non-surgical Abortion,C3146282,Medical termination of pregnancy
NCT04358198,gim diagnosis,Diagnóstico:Tracto gastrointestinal inferior :Estudio:Interpretación:Nominal:,C0802623,Diagnosis:Imp:Stdy:Gastrointestinal tract.lower:Nom
NCT06633393,myopia,Myopia,C0027092,Myopia
NCT06988579,lung cancer,Lung Cancer,C0242379,Malignant neoplasm of lung
NCT06957093,diabetes mellitus type 2 (t2dm),T2DM - diabetes mellitus type 2,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent"
NCT06949462,consent forms,Consent Forms,C0009797,Consent Forms
NCT06676930,colon polyps,Colon polyps,C0009376,Colonic Polyps
NCT06817564,traumatic brain injury,Traumatic Brain Injury,C0876926,Traumatic Brain Injury
NCT06786793,"quality indicators, health care","Quality Indicators, Health Care",C0525061,"Quality Indicators, Health Care"
NCT06546592,contouring,contouring,C0302821,Contour Alloy
NCT06785155,health behaviors,Health Behaviors,C0018687,Health behavior
NCT07124624,intracranial aneurysm,Intracranial Aneurysm,C0007766,Intracranial Aneurysm
NCT07075679,breast cancer screening,Breast cancer screening,C0281182,Screening for malignant neoplasm of breast
NCT06626178,lung cancer screening program,"Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial",C1514515,"Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial"
NCT06863792,nursing students,Nursing students,C0038496,"Students, Nursing"
NCT06553911,respiratory infectious diseases,Infectious respiratory disease,C4731925,Infectious respiratory disease
NCT06362629,atopic dermatitis,ATOPIC DERMATITIS,C0011615,"Dermatitis, Atopic"
NCT06621134,telephone hotlines,Telephone Hotlines,C0020042,Hotlines
NCT06650098,diabetes mellitus,diabetes mellitus,C0011849,Diabetes Mellitus
NCT05018663,pancreatic solid lesions,solid carcinoma of pancreas (diagnosis),C2017452,solid carcinoma of pancreas
NCT07277829,virtual patient,virtual patient encounter,C1553497,virtual patient encounter
NCT06478901,heart failure,Heart failure,C0018801,Heart failure
NCT06645405,acute ischemic stroke,Acute Ischemic Stroke,C5392833,Acute Ischemic Stroke
NCT05916014,atrophic gastritis,Atrophic gastritis,C0017154,"Gastritis, Atrophic"
NCT06556329,social robots for procedural distress,Social Robots,C5208777,Socially Assistive Robots
NCT06983236,nursing students,Nursing students,C0038496,"Students, Nursing"
NCT04912037,colonoscopy,colonoscopy,C0009378,colonoscopy
NCT07127939,ophthalmic imaging,Imaging @ Eye (Procedure),C2510512,Imaging @ Eye (Procedure)
NCT07205276,breast cancer detection,Breast Cancer Detection,C1511288,Breast Cancer Detection Research
NCT05024591,breast cancer,Breast Cancer,C0006142,Malignant neoplasm of breast
NCT06839261,intubation; difficult,intubation; difficult,C0549401,Difficult tracheal intubation (finding)
NCT06942130,medical education,Medical education,C0013631,"Education, Medical"
NCT06108037,communication,Communication,C0009452,Communication
NCT04304742,painful hip,painful hip,C0019559,Hip joint pain
NCT07277686,coronary artery disease (cad),CAD (coronary artery disease),C1956346,Coronary Artery Disease
NCT07216859,masld - metabolic dysfunction-associated steatotic liver disease,MASLD - metabolic dysfunction-associated steatotic liver disease,C0400966,Non-alcoholic Fatty Liver Disease
NCT07252193,type 2 diabetes mellitus,type 2 diabetes mellitus,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent"
NCT06796166,breast cancer,Breast Cancer,C0006142,Malignant neoplasm of breast
NCT07253571,ai chatbot,chatbot,C5421286,Chatbot
NCT07167043,central nervous system disease,central nervous system disease,C0007682,CNS disorder
NCT06791499,ai agent,agent I,C0047291,"3-chloro-4,4-dimethyl-2-oxazolidinone"
NCT05323279,colonoscopy,colonoscopy,C0009378,colonoscopy
NCT05545696,"impression technic, dental","Impression Technic, Dental",C0011375,Dental Impression Technique
NCT05987774,autism spectrum disorder,Autism spectrum disorder,C0524528,Pervasive Development Disorder
